Unnamed: 0,medications,med_dm_use,med_chol_use,med_bp_use,med_dep_use
1622,mucinex dm,0,0,0,0
1623,folcaps,0,0,0,0
1624,propoxyphene hcl-apap,0,0,0,0
1625,zonegran,0,0,0,0
1626,amiloride hcl-hctz,0,0,0,0
1627,gatifloxacin,0,0,0,0
1628,esomeprazole mag trihydrate,0,0,0,0
1629,caltrate plus,0,0,0,0
1630,bisoprolol fumarate/hctz,0,0,0,0
1631,formoterol fumarate,0,0,0,0
1632,tracleer,0,0,0,0
1633,cortisone,0,0,0,0
1634,rozerem,0,0,0,0
1635,bisoprolol fumarate-hctz,0,0,0,0
1636,tylenol p.m.,0,0,0,0
1637,propoxyphene hcl/acetaminophen,0,0,0,0
1638,stalevo 100,0,0,0,0
1639,carbidopa-levodopa,0,0,0,0
1640,comtan,0,0,0,0
1641,exubera inhaler,0,0,0,0
1642,estradiol/levonorgestrel,0,0,0,0
1643,moxifloxacin hcl,0,0,0,0
1644,nevanac,0,0,0,0
1645,zoladex,0,0,0,0
1646,docusate sodium w/casanthran,0,0,0,0
1647,benazepril hcl/hctz,0,0,0,0
1648,vardenafil hcl,0,0,0,0
1649,prefest,0,0,0,0
1650,cefadroxil,0,0,0,0
1651,bactroban,0,0,0,0
1652,angeliq,0,0,0,0
1653,aredia,0,0,0,0
1654,phoslo,0,0,0,0
1655,epogen,0,0,0,0
1656,ferrlecit,0,0,0,0
1657,hectorol,0,0,0,0
1658,geritol complete,0,0,0,0
1659,zaditor,0,0,0,0
1660,neomycin-polymyxin-hc,0,0,0,0
1661,sulfamethoxazole-trimethoprim,0,0,0,0
1662,pamelor,0,0,0,0
1663,methadose,0,0,0,0
1664,aspirin enteric coated,0,0,0,0
1665,cortef,0,0,0,0
1666,calcium and magnesium,0,0,0,0
1667,red yeast rice,0,0,0,0
1668,anusol-hc,0,0,0,0
1669,dulcolax,0,0,0,0
1670,teveten,0,0,0,0
1671,apexicon,0,0,0,0
1672,codimal dh,0,0,0,0
1673,coricidin d,0,0,0,0
1674,dilt-cd,0,0,0,0
1675,zonisamide,0,0,0,0
1676,benazepril hcl/amlodipine,0,0,1,0
1677,elmiron,0,0,0,0
1678,relpax,0,0,0,0
1679,bidil,0,0,0,0
1680,kenalog,0,0,0,0
1681,propoxyphene napsylate -apap,0,0,0,0
1682,metaproterenol sulfate,0,0,0,0
1683,benzocaine,0,0,0,0
1684,venlafaxine hcl,0,0,0,1
1685,rosuvastatin calcium,0,1,0,0
1686,avar,0,0,0,0
1687,steroid injection,0,0,0,0
1688,neomycin-polymyxin-dexameth,0,0,0,0
1689,clenia,0,0,0,0
1690,atopiclair,0,0,0,0
1691,duradrin,0,0,0,0
1692,amlactin,0,0,0,0
1693,vitamin b-12 (cyanocobalamin),0,0,0,0
1694,fludrocortisone acetate,0,0,0,0
1695,midodrine hcl,0,0,0,0
1696,0.2 micron filter attachment,0,0,0,0
1697,guaifenesin w/pseudoephedrin,0,0,0,0
1698,trihexyphenidyl hcl,0,0,0,0
1699,oxycodone hcl-acetaminophen,0,0,0,0
1700,polyvinyl alcohol,0,0,0,0
1701,isoptin sr,0,0,0,0
1702,bidex,0,0,0,0
1703,medent dm,0,0,0,0
1704,norethindrone-ethinyl estrad,0,0,0,0
1705,guaifen/p-ephed hcl/d-cp,0,0,0,0
1706,tussbid,0,0,0,0
1707,perindopril erbumine,0,0,0,0
1708,megace,0,0,0,0
1709,vandazole,0,0,0,0
1710,methadone hcl,0,0,0,0
1711,mag-oxide,0,0,0,0
1712,nulev,0,0,0,0
1713,kadian,0,0,0,0
1714,digitex gold,0,0,0,0
1715,clobex,0,0,0,0
1716,salmeterol xinafoate,0,0,0,0
1717,bacitracin-polymyxin,0,0,0,0
1718,bethanechol chloride,0,0,0,0
1719,thyrolar-1/2,0,0,0,0
1720,thiamine hcl,0,0,0,0
1721,scopolamine hydrobromide,0,0,0,0
1722,onset forte,0,0,0,0
1723,tekturna hct,0,0,0,0
1724,trandolapril,0,0,0,0
1725,azor,0,0,0,0
1726,profen forte,0,0,0,0
1727,denavir,0,0,0,0
1728,lessina,0,0,0,0
1729,keralac,0,0,0,0
1730,valproic acid,0,0,0,0
1731,enablex,0,0,0,0
1732,allopurinol sodium,0,0,0,0
1733,polysaccharide iron,0,0,0,0
1734,clarinex-d 24 hour,0,0,0,0
1735,amitiza,0,0,0,0
1736,betamethasone,0,0,0,0
1737,cefuroxime axetil,0,0,0,0
1738,evoxac,0,0,0,0
1739,levalbuterol hcl,0,0,0,0
1740,glipizide-metformin,1,0,0,0
1741,e-mycin,0,0,0,0
1742,serax,0,0,0,0
1743,civanex creme,0,0,0,0
1744,rocaltrol,0,0,0,0
1745,calcium 600,0,0,0,0
1746,omega 3,0,0,0,0
1747,seldane,0,0,0,0
1748,study med/vs placebo for neuropathy,0,0,0,0
1749,proair hfa,0,0,0,0
1750,moban,0,0,0,0
1751,tri-levlen 21,0,0,0,0
1752,tri-levlen,0,0,0,0
1753,magnesium oxide,0,0,0,0
1754,oyst-cal-d,0,0,0,0
1755,promogran,0,0,0,0
1756,ezol,0,0,0,0
1757,cephadyn,0,0,0,0
1758,nizatidine,0,0,0,0
1759,macugen,0,0,0,0
1760,lucentis,0,0,0,0
1761,insulin aspart,1,0,0,0
1762,amox tr-potassium clavulanate,0,0,0,0
1763,betamethasone dp augmented,0,0,0,0
1764,biotene,0,0,0,0
1765,nasal spray,0,0,0,0
1766,benztropine mesylate,0,0,0,0
1767,escitalopram oxalate,0,0,0,1
1768,olanzapine,0,0,0,0
1769,oyst cal d,0,0,0,0
1770,fortamet,0,0,0,0
1771,afeditab cr,0,0,0,0
1772,anamantle hc,0,0,0,0
1773,urso,0,0,0,0
1774,concerta,0,0,0,0
1775,rifampin,0,0,0,0
1776,ethambutol hcl,0,0,0,0
1777,pyrazinamide,0,0,0,0
1778,tazorac,0,0,0,0
1779,trinessa,0,0,0,0
1780,eperbel-s,0,0,0,0
1781,acetazolamide,0,0,0,0
1782,acular ls,0,0,0,0
1783,equetro,0,0,0,0
1784,nuvaring,0,0,0,0
1785,glumetza,0,0,0,0
1786,phenylephrine,0,0,0,0
1787,first-testosterone mc,0,0,0,0
1788,tri-chlor,0,0,0,0
1789,hydrocodone w-acetaminophen,0,0,0,0
1790,albuterol sulfate/ipratropium,0,0,0,0
1791,omnihist l.a.,0,0,0,0
1792,cefdinir,0,0,0,0
1793,phenylephrine cm,0,0,0,0
1794,isradipine,0,0,0,0
1795,scopace,0,0,0,0
1796,dynacirc cr,0,0,0,0
1797,akwa tears,0,0,0,0
1798,vitamin b-6,0,0,0,0
1799,amiloride hcl w/hctz,0,0,0,0
1800,belladonna alkaloids/phenoba,0,0,0,0
1801,fortical,0,0,0,0
1802,avonex,0,0,0,0
1803,glucosamine sulfate,0,0,0,0
1804,guaifenesin-phenylephrine,0,0,0,0
1805,anemagen ob,0,0,0,0
1806,thalomid,0,0,0,0
1807,atenolol-chlorthalidone,0,0,1,0
1808,clorazepate dipotassium,0,0,0,0
1809,ibutab,0,0,0,0
1810,imuran,0,0,0,0
1811,hydroxyzine compound,0,0,0,0
1812,anucort-hc,0,0,0,0
1813,progest/test-cream,0,0,0,0
1814,repliva 21/7,0,0,0,0
1815,robinul forte,0,0,0,0
1816,naftin,0,0,0,0
1817,hydrocortisone valerate,0,0,0,0
1818,foradil,0,0,0,0
1819,cosamin ds,0,0,0,0
1820,oxybutynin,0,0,0,0
1821,zebutal,0,0,0,0
1822,cleocin hcl,0,0,0,0
1823,vitamin b6,0,0,0,0
1824,stelazine,0,0,0,0
1825,mepergan fortis,0,0,0,0
1826,neomycin/polymixin/dexameth,0,0,0,0
1827,gabitril,0,0,0,0
1828,cheratussin ac,0,0,0,0
1829,promethazine vc w/codeine,0,0,0,0
1830,aspirin ec,0,0,0,0
1831,nitrofurantoin monohyd macro,0,0,0,0
1832,metadate cd,0,0,0,0
1833,diethylpropion hcl,0,0,0,0
1834,theophylline anhydrous,0,0,0,0
1835,maxipime,0,0,0,0
1836,olopatadine hcl,0,0,0,0
1837,travoprost,0,0,0,0
1838,phendimetrazine tartrate,0,0,0,0
1839,stimate,0,0,0,0
1840,pot bicarb/potassium chlorid,0,0,0,0
1841,pot chloride/pot bicarb/cit ac,0,0,0,0
1842,clove oil,0,0,0,0
1843,lidex,0,0,0,0
1844,aspirin low dose,0,0,0,0
1845,nephrocaps,0,0,0,0
1846,cardia,0,0,0,0
1847,bismuth subsalicylate,0,0,0,0
1848,b-complex w/c,0,0,0,0
1849,calcium carbonate w/vitamin d,0,0,0,0
1850,nalfon,0,0,0,0
1851,magnesium-oxide,0,0,0,0
1852,?,0,0,0,0
1853,trizivir,0,0,0,0
1854,ferrex-150,0,0,0,0
1855,crinone,0,0,0,0
1856,dhea,0,0,0,0
1857,clobetasol e,0,0,0,0
1858,oxazepam,0,0,0,0
1859,tikosyn,0,0,0,0
1860,guaifenesin w/codeine,0,0,0,0
1861,dermatop,0,0,0,0
1862,low dose aspirin,0,0,0,0
1863,robitussin,0,0,0,0
1864,dalmane,0,0,0,0
1865,florical,0,0,0,0
1866,factive,0,0,0,0
1867,modafinil,0,0,0,0
1868,ami-tex la,0,0,0,0
1869,placebo/dutasteride,0,0,0,0
1870,placebo or dutasteride,0,0,0,0
1871,hydrocodone bitartrate/aspirin,0,0,0,0
1872,cefzil,0,0,0,0
1873,durilea,0,0,0,0
1874,methadone,0,0,0,0
1875,propoxyphene napsylate w/apa,0,0,0,0
1876,budeprion sr,0,0,0,0
1877,lactinol-e,0,0,0,0
1878,lactinol,0,0,0,0
1879,flextra,0,0,0,0
1880,policosanol,0,0,0,0
1881,panlor ss,0,0,0,0
1882,florastor,0,0,0,0
1883,mentax,0,0,0,0
1884,asthmanefrin,0,0,0,0
1885,mydriacyl,0,0,0,0
1886,phenylephrine hcl,0,0,0,0
1887,tamiflu,0,0,0,0
1888,nasop,0,0,0,0
1889,thyrolar-1,0,0,0,0
1890,ibuprofen/hydrocod bit,0,0,0,0
1891,genasal la,0,0,0,0
1892,diphenoxylate hcl/atrop sulf,0,0,0,0
1893,fibercon,0,0,0,0
1894,analpram-hc,0,0,0,0
1895,bion tears,0,0,0,0
1896,nystatin w/triamcinolone,0,1,0,0
1897,lasofoxifene or raloxifene for clinical trial,0,0,0,0
1898,lasofoxifene or,0,0,0,0
1899,raloxifene hcl,0,0,0,0
1900,recombinate,0,0,0,0
1901,penicillin g benzathine,0,0,0,0
1902,cefotaxime sodium,0,0,0,0
1903,carac,0,0,0,0
1904,urimar-t,0,0,0,0
1905,insul nph hu rec/ins rg hu rec,0,0,0,0
1906,chorionic gonadotropin,0,0,0,0
1907,gris-peg,0,0,0,0
1908,domeboro,0,0,0,0
1909,dong quai,0,0,0,0
1910,feosol,0,0,0,0
1911,junel fe,0,0,0,0
1912,advair hfa,0,0,0,0
1913,hydrocodone-guaifenesin,0,0,0,0
1914,vanos,0,0,0,0
1915,maxidex,0,0,0,0
1916,solu-medrol,0,0,0,0
1917,pexeva,0,0,0,0
1918,oxycodone-apap,0,0,0,0
1919,humibid la,0,0,0,0
1920,leflunomide,0,0,0,0
1921,placebo,0,0,0,0
1922,cefprozil,0,0,0,0
1923,cyclogyl,0,0,0,0
1924,nystop,0,0,0,0
1925,hygroton,0,0,0,0
1926,esgic plus,0,0,0,0
1927,econopred,0,0,0,0
1928,insulin vial,1,0,0,0
1929,ponstel,0,0,0,0
1930,vitaplex plus,0,0,0,0
1931,unknown antibiotic,0,0,0,0
1932,symbicort,0,0,0,0
1933,hy-kxp,0,0,0,0
1934,promethazine hcl,0,0,0,0
1935,coricidin,0,0,0,0
1936,vi-q-tuss,0,0,0,0
1937,soriatane,0,0,0,0
1938,hydroxyzine pamoate,0,0,0,0
1939,hydrocodone bit-ibuprofen,0,0,0,0
1940,rescon-mx,0,0,0,0
1941,hydrocodone bit/aspirin,0,0,0,0
1942,synalar,0,0,0,0
1943,xopenex hfa,0,0,0,0
1944,navelbine,0,0,0,0
1945,bellaspas,0,0,0,0
1946,tysabri,0,0,0,0
1947,vitamin b complex-100,0,0,0,0
1948,lactic acid,0,0,0,0
1949,cordran,0,0,0,0
1950,flibanserin,0,0,0,0
1951,brovex ct,0,0,0,0
1952,flurbiprofen,0,0,0,0
1953,tylenol-codeine no.4,0,0,0,0
1954,actanol,0,0,0,0
1955,calcium citrate,0,0,0,0
1956,feratab,0,0,0,0
1957,panmist la,0,0,0,0
1958,unknown abx w/steroid,0,0,0,0
1959,pneumococcal vacc 23-valent,0,0,0,0
1960,influenz vir vac tv p-surf03,0,0,0,0
1961,triple antibiotic,0,0,0,0
1962,decadron phosphate,0,0,0,0
1963,cheratussin dac,0,0,0,0
1964,sominex,0,0,0,0
1965,blephamide s.o.p.,0,0,0,0
1966,blephamide,0,0,0,0
1967,inderal la,0,0,0,0
1968,septra,0,0,0,0
1969,calcium 500 + d,0,0,0,0
1970,gani-tuss nr,0,0,0,0
1971,athrotec 50,0,0,0,0
1972,etanercept,0,0,0,0
1973,docusate sodium-senna,0,0,0,0
1974,revatio,0,0,0,0
1975,flurazepam,0,0,0,0
1976,baza clear,0,0,0,0
1977,promethazine-codeine,0,0,0,0
1978,afrin saline nasal mist,0,0,0,0
1979,papaverine hcl,0,0,0,0
1980,vitamin b complex-50,0,0,0,0
1981,calcium + d,0,0,0,0
1982,primatene mist,0,0,0,0
1983,tetanus diphtheria toxoids,0,0,0,0
1984,"poliomyelitis vac,killed",0,0,0,0
1985,hepatitis a virus vaccine,0,0,0,0
1986,glycopyrrolate,0,0,0,0
1987,*,0,0,0,0
1988,guaitussin ac,0,0,0,0
1989,hydralazine hcl/hctz,0,0,0,0
1990,tobrex,0,0,0,0
1991,gaviscon,0,0,0,0
1992,lialda,0,0,0,0
1993,humulin l,0,0,0,0
1994,eskalith cr,0,0,0,0
1995,roxicodone,0,0,0,0
1996,terazol 3,0,0,0,0
1997,pramoxine hcl,0,0,0,0
1998,folbic,0,0,0,0
1999,pataday,0,0,0,0
2000,palgic,0,0,0,0
2001,vantin,0,0,0,0
2002,fluorouracil,0,0,0,0
2003,meperidine hcl,0,0,0,0
2004,klor-con/ef,0,0,0,0
2005,k-tab,0,0,0,0
2006,znp bar,0,0,0,0
2007,zinc pyrithione,0,0,0,0
2008,extendryl sr,0,0,0,0
2009,ferrous ds,0,0,0,0
2010,condylox,0,0,0,0
2011,cinnamon,0,0,0,0
2012,oxaliplatin,0,0,0,0
2013,anzemet,0,0,0,0
2014,keratol 40,0,0,0,0
2015,neupogen,0,0,0,0
2016,adriamycin rdf,0,0,0,0
2017,doxorubicin hcl,0,0,0,0
2018,omega-3,0,0,0,0
2019,tramadol hcl-acetaminophen,0,0,0,0
2020,flarex,0,0,0,0
2021,new-skin,0,0,0,0
2022,guaifenesin-phenylephrine hcl,0,0,0,0
2023,avastin,0,0,0,0
2024,civanex cream,0,0,0,0
2025,indocin sr,0,0,0,0
2026,balacet 325,0,0,0,0
2027,roxicodone intensol,0,0,0,0
2028,rosiglitazone/metformin hcl,1,0,0,0
2029,tice bcg,0,0,0,0
2030,focalin,0,0,0,0
2031,estradiol transdermal patch,0,0,0,0
2032,cephalexin mh,0,0,0,0
2033,cipro xr,0,0,0,0
2034,hydromorphone hcl,0,0,0,0
2035,enpresse,0,0,0,0
2036,b-complex w/vitamin b-12,0,0,0,0
2037,femtrace,0,0,0,0
2038,belladonna alkaloids/phenobarb,0,0,0,0
2039,pseudovent,0,0,0,0
2040,ryna-c,0,0,0,0
2041,temodar,0,0,0,0
2042,levonorgestrel-ethin estradiol,0,0,0,0
2043,nestabs rx,0,0,0,0
2044,guaifen-pse,0,0,0,0
2045,genebs,0,0,0,0
2046,aerohist,0,0,0,0
2047,progest/test cream,0,0,0,0
2048,trixaicin,0,0,0,0
2049,oyst-cal-500,0,0,0,0
2050,vitron-c,0,0,0,0
2051,ertaczo,0,0,0,0
2052,digex,0,0,0,0
2053,akineton,0,0,0,0
2054,homatropine hbr,0,0,0,0
2055,selenium sulfide,0,0,0,0
2056,perdiem,0,0,0,0
2057,hydrophilic,0,0,0,0
2058,orajel,0,0,0,0
2059,pot bicarb/pot chloride/cit,0,0,0,0
2060,quixin,0,0,0,0
2061,inv rx topical - onchomycosis,0,0,0,0
2062,halflytely,0,0,0,0
2063,metrogel-vaginal,0,0,0,0
2064,ferrous fumarate,0,0,0,0
2065,pyrimethamine,0,0,0,0
2066,zolmitriptan,0,0,0,0
2067,aranesp,0,0,0,0
2068,"""additional meds in comment""",0,0,0,0
2069,xibrom,0,0,0,0
2070,phenergan vc w/codeine,0,0,0,0
2071,belladonna w/phenobarbitol,0,0,0,0
2072,diphen lido viscous/maalox,0,0,0,0
2073,freshkote,0,0,0,0
2074,glucosamine-msm,0,0,0,0
2075,mitomycin,0,0,0,0
2076,moexipril-hydrochlorothiazide,0,0,1,0
2077,codeine phos,0,0,0,0
2078,bystolic,0,0,0,0
2079,adult low dose aspirin,0,0,0,0
2080,theophylline,0,0,0,0
2081,tamoxifen,0,0,0,0
2082,sinemet 25-100,0,0,0,0
2083,valsartan/hydrochlorothiazide,0,0,1,0
2084,zithromax tri-pak,0,0,0,0
2085,midazolam hcl,0,0,0,0
2086,enteric coated aspirin,0,0,0,0
2087,verapamil er,0,0,0,0
2088,acetaminophen w-codeine,0,0,0,0
2089,topiramate,0,0,0,0
2090,gammagard liquid,0,0,0,0
2091,nutrispire,0,0,0,0
2092,citalopram,0,0,0,1
2093,combigan,0,0,0,0
2094,cyclopentolate hcl,0,0,0,0
2095,caltrate-600 plus,0,0,0,0
2096,"insulin glargine,hum.rec.anl",1,0,0,0
2097,lantus solostar,0,0,0,0
2098,methylphenidate,0,0,0,0
2099,bacitracin/polymyxin,0,0,0,0
2100,trilipix,0,0,0,0
2101,levora-21,0,0,0,0
2102,urso forte,0,0,0,0
2103,heparin sodium,0,0,0,0
2104,losartan/hydrochlorothiazide,0,0,1,0
2105,beclomethasone dipropionate (h,0,0,0,0
2106,pancreatin,0,0,0,0
2107,topotecan hcl,0,0,0,0
2108,prochlorperazine,0,0,0,0
2109,vitamin d-3,0,0,0,0
2110,allegra-d 24 hour,0,0,0,0
2111,study drug anticoagulant vs. coumadin,0,0,0,0
2112,isometheptene-apap-dichlphen,0,0,0,0
2113,xylocaine (local anesthetic),0,0,0,0
2114,moexipril hcl/hctz,0,0,0,0
2115,apap-caffeine-dihydrocodeine,0,0,0,0
2116,olmesartan medoxomil,0,0,1,0
2117,tadalafil,0,0,0,0
2118,nefazodone hcl,0,0,0,0
2119,neomy sulf/polymyx b sulf/hc,0,0,0,0
2120,clotrimazole-betamethasone,0,0,0,0
2121,velosulin human br,0,0,0,0
2122,ec aspirin,0,0,0,0
2123,dorzolamide hcl,0,0,0,0
2124,ventolin hfa,0,0,0,0
2125,enteric coated asa,0,0,0,0
2126,hormone combination,0,0,0,0
2127,preservision areds,0,0,0,0
2128,prednisolone sodium phosphat,0,0,0,0
2129,propoxyphene hcl/apap,0,0,0,0
2130,seasonique,0,0,0,0
2131,propylene glycol,0,0,0,0
2132,rimonabant or placebo,0,0,0,0
2133,lidocaine-hc,0,0,0,0
2134,neomycin/bacitracin/poly/hc,0,0,0,0
2135,bisoprolol fumerate/hctz,0,0,0,0
2136,levora-28,0,0,0,0
2137,sinemet 10-100,0,0,0,0
2138,optichamber,0,0,0,0
2139,humalog mix 50/50,0,0,0,0
2140,nephron fa,0,0,0,0
2141,spironolactone-hctz,0,0,0,0
2142,flax seed oil,0,0,0,0
2143,gemcitabine hcl,0,0,0,0
2144,vitamin  b12,0,0,0,0
2145,trandolapril/verapamil hcl,0,0,0,0
2146,ospemifene,0,0,0,0
2147,phenytoin,0,0,0,0
