"","medications"
"1851","MAGNESIUM-OXIDE"
"1852","?"
"1853","TRIZIVIR"
"1854","FERREX-150"
"1855","CRINONE"
"1856","DHEA"
"1857","CLOBETASOL E"
"1858","OXAZEPAM"
"1859","TIKOSYN"
"1860","GUAIFENESIN W/CODEINE"
"1861","DERMATOP"
"1862","LOW DOSE ASPIRIN"
"1863","ROBITUSSIN"
"1864","DALMANE"
"1865","FLORICAL"
"1866","FACTIVE"
"1867","MODAFINIL"
"1868","AMI-TEX LA"
"1869","PLACEBO/DUTASTERIDE"
"1870","PLACEBO OR DUTASTERIDE"
"1871","HYDROCODONE BITARTRATE/ASPIRIN"
"1872","CEFZIL"
"1873","DURILEA"
"1874","METHADONE"
"1875","PROPOXYPHENE NAPSYLATE W/APA"
"1876","BUDEPRION SR"
"1877","LACTINOL-E"
"1878","LACTINOL"
"1879","FLEXTRA"
"1880","POLICOSANOL"
"1881","PANLOR SS"
"1882","FLORASTOR"
"1883","MENTAX"
"1884","ASTHMANEFRIN"
"1885","MYDRIACYL"
"1886","PHENYLEPHRINE HCL"
"1887","TAMIFLU"
"1888","NASOP"
"1889","THYROLAR-1"
"1890","IBUPROFEN/HYDROCOD BIT"
"1891","GENASAL LA"
"1892","DIPHENOXYLATE HCL/ATROP SULF"
"1893","FIBERCON"
"1894","ANALPRAM-HC"
"1895","BION TEARS"
"1896","NYSTATIN W/TRIAMCINOLONE"
"1897","LASOFOXIFENE OR RALOXIFENE FOR CLINICAL TRIAL"
"1898","LASOFOXIFENE OR"
"1899","RALOXIFENE HCL"
"1900","RECOMBINATE"
"1901","PENICILLIN G BENZATHINE"
"1902","CEFOTAXIME SODIUM"
"1903","CARAC"
"1904","URIMAR-T"
"1905","INSUL NPH HU REC/INS RG HU REC"
"1906","CHORIONIC GONADOTROPIN"
"1907","GRIS-PEG"
"1908","DOMEBORO"
"1909","DONG QUAI"
"1910","FEOSOL"
"1911","JUNEL FE"
"1912","ADVAIR HFA"
"1913","HYDROCODONE-GUAIFENESIN"
"1914","VANOS"
"1915","MAXIDEX"
"1916","SOLU-MEDROL"
"1917","PEXEVA"
"1918","OXYCODONE-APAP"
"1919","HUMIBID LA"
"1920","LEFLUNOMIDE"
"1921","PLACEBO"
"1922","CEFPROZIL"
"1923","CYCLOGYL"
"1924","NYSTOP"
"1925","HYGROTON"
"1926","ESGIC PLUS"
"1927","ECONOPRED"
"1928","INSULIN VIAL"
"1929","PONSTEL"
"1930","VITAPLEX PLUS"
"1931","UNKNOWN ANTIBIOTIC"
"1932","SYMBICORT"
"1933","HY-KXP"
"1934","PROMETHAZINE HCL"
"1935","CORICIDIN"
"1936","VI-Q-TUSS"
"1937","SORIATANE"
"1938","HYDROXYZINE PAMOATE"
"1939","HYDROCODONE BIT-IBUPROFEN"
"1940","RESCON-MX"
"1941","HYDROCODONE BIT/ASPIRIN"
"1942","SYNALAR"
"1943","XOPENEX HFA"
"1944","NAVELBINE"
"1945","BELLASPAS"
"1946","TYSABRI"
"1947","VITAMIN B COMPLEX-100"
"1948","LACTIC ACID"
"1949","CORDRAN"
"1950","FLIBANSERIN"
"1951","BROVEX CT"
"1952","FLURBIPROFEN"
"1953","TYLENOL-CODEINE NO.4"
"1954","ACTANOL"
"1955","CALCIUM CITRATE"
"1956","FERATAB"
"1957","PANMIST LA"
"1958","UNKNOWN ABX W/STEROID"
"1959","PNEUMOCOCCAL VACC 23-VALENT"
"1960","INFLUENZ VIR VAC TV P-SURF03"
"1961","TRIPLE ANTIBIOTIC"
"1962","DECADRON PHOSPHATE"
"1963","CHERATUSSIN DAC"
"1964","SOMINEX"
"1965","BLEPHAMIDE S.O.P."
"1966","BLEPHAMIDE"
"1967","INDERAL LA"
"1968","SEPTRA"
"1969","CALCIUM 500 + D"
"1970","GANI-TUSS NR"
"1971","ATHROTEC 50"
"1972","ETANERCEPT"
"1973","DOCUSATE SODIUM-SENNA"
"1974","REVATIO"
"1975","FLURAZEPAM"
"1976","BAZA CLEAR"
"1977","PROMETHAZINE-CODEINE"
"1978","AFRIN SALINE NASAL MIST"
"1979","PAPAVERINE HCL"
"1980","VITAMIN B COMPLEX-50"
"1981","CALCIUM + D"
"1982","PRIMATENE MIST"
"1983","TETANUS DIPHTHERIA TOXOIDS"
"1984","POLIOMYELITIS VAC,KILLED"
"1985","HEPATITIS A VIRUS VACCINE"
"1986","GLYCOPYRROLATE"
"1987","*"
"1988","GUAITUSSIN AC"
"1989","HYDRALAZINE HCL/HCTZ"
"1990","TOBREX"
"1991","GAVISCON"
"1992","LIALDA"
"1993","HUMULIN L"
"1994","ESKALITH CR"
"1995","ROXICODONE"
"1996","TERAZOL 3"
"1997","PRAMOXINE HCL"
"1998","FOLBIC"
"1999","PATADAY"
"2000","PALGIC"
"2001","VANTIN"
"2002","FLUOROURACIL"
"2003","MEPERIDINE HCL"
"2004","KLOR-CON/EF"
"2005","K-TAB"
"2006","ZNP BAR"
"2007","ZINC PYRITHIONE"
"2008","EXTENDRYL SR"
"2009","FERROUS DS"
"2010","CONDYLOX"
"2011","CINNAMON"
"2012","OXALIPLATIN"
"2013","ANZEMET"
"2014","KERATOL 40"
"2015","NEUPOGEN"
"2016","ADRIAMYCIN RDF"
"2017","DOXORUBICIN HCL"
"2018","OMEGA-3"
"2019","TRAMADOL HCL-ACETAMINOPHEN"
"2020","FLAREX"
"2021","NEW-SKIN"
"2022","GUAIFENESIN-PHENYLEPHRINE HCL"
"2023","AVASTIN"
"2024","CIVANEX CREAM"
"2025","INDOCIN SR"
"2026","BALACET 325"
"2027","ROXICODONE INTENSOL"
"2028","ROSIGLITAZONE/METFORMIN HCL"
"2029","TICE BCG"
"2030","FOCALIN"
"2031","ESTRADIOL TRANSDERMAL PATCH"
"2032","CEPHALEXIN MH"
"2033","CIPRO XR"
"2034","HYDROMORPHONE HCL"
"2035","ENPRESSE"
"2036","B-COMPLEX W/VITAMIN B-12"
"2037","FEMTRACE"
"2038","BELLADONNA ALKALOIDS/PHENOBARB"
"2039","PSEUDOVENT"
"2040","RYNA-C"
"2041","TEMODAR"
"2042","LEVONORGESTREL-ETHIN ESTRADIOL"
"2043","NESTABS RX"
"2044","GUAIFEN-PSE"
"2045","GENEBS"
"2046","AEROHIST"
"2047","PROGEST/TEST CREAM"
"2048","TRIXAICIN"
"2049","OYST-CAL-500"
"2050","VITRON-C"
"2051","ERTACZO"
"2052","DIGEX"
"2053","AKINETON"
"2054","HOMATROPINE HBR"
"2055","SELENIUM SULFIDE"
"2056","PERDIEM"
"2057","HYDROPHILIC"
"2058","ORAJEL"
"2059","POT BICARB/POT CHLORIDE/CIT"
"2060","QUIXIN"
"2061","INV RX TOPICAL - ONCHOMYCOSIS"
"2062","HALFLYTELY"
"2063","METROGEL-VAGINAL"
"2064","FERROUS FUMARATE"
"2065","PYRIMETHAMINE"
"2066","ZOLMITRIPTAN"
"2067","ARANESP"
"2068","""ADDITIONAL MEDS IN COMMENT"""
"2069","XIBROM"
"2070","PHENERGAN VC W/CODEINE"
"2071","BELLADONNA W/PHENOBARBITOL"
"2072","DIPHEN LIDO VISCOUS/MAALOX"
"2073","FRESHKOTE"
"2074","GLUCOSAMINE-MSM"
"2075","MITOMYCIN"
"2076","MOEXIPRIL-HYDROCHLOROTHIAZIDE"
"2077","CODEINE PHOS"
"2078","BYSTOLIC"
"2079","ADULT LOW DOSE ASPIRIN"
"2080","THEOPHYLLINE"
"2081","TAMOXIFEN"
"2082","SINEMET 25-100"
"2083","VALSARTAN/HYDROCHLOROTHIAZIDE"
"2084","ZITHROMAX TRI-PAK"
"2085","MIDAZOLAM HCL"
"2086","ENTERIC COATED ASPIRIN"
"2087","VERAPAMIL ER"
"2088","ACETAMINOPHEN W-CODEINE"
"2089","TOPIRAMATE"
"2090","GAMMAGARD LIQUID"
"2091","NUTRISPIRE"
"2092","CITALOPRAM"
"2093","COMBIGAN"
"2094","CYCLOPENTOLATE HCL"
"2095","CALTRATE-600 PLUS"
"2096","INSULIN GLARGINE,HUM.REC.ANL"
"2097","LANTUS SOLOSTAR"
"2098","METHYLPHENIDATE"
"2099","BACITRACIN/POLYMYXIN"
"2100","TRILIPIX"
"2101","LEVORA-21"
"2102","URSO FORTE"
"2103","HEPARIN SODIUM"
"2104","LOSARTAN/HYDROCHLOROTHIAZIDE"
"2105","BECLOMETHASONE DIPROPIONATE (H"
"2106","PANCREATIN"
"2107","TOPOTECAN HCL"
"2108","PROCHLORPERAZINE"
"2109","VITAMIN D-3"
"2110","ALLEGRA-D 24 HOUR"
"2111","STUDY DRUG ANTICOAGULANT VS. COUMADIN"
"2112","ISOMETHEPTENE-APAP-DICHLPHEN"
"2113","XYLOCAINE (LOCAL ANESTHETIC)"
"2114","MOEXIPRIL HCL/HCTZ"
"2115","APAP-CAFFEINE-DIHYDROCODEINE"
"2116","OLMESARTAN MEDOXOMIL"
"2117","TADALAFIL"
"2118","NEFAZODONE HCL"
"2119","NEOMY SULF/POLYMYX B SULF/HC"
"2120","CLOTRIMAZOLE-BETAMETHASONE"
"2121","VELOSULIN HUMAN BR"
"2122","EC ASPIRIN"
"2123","DORZOLAMIDE HCL"
"2124","VENTOLIN HFA"
"2125","ENTERIC COATED ASA"
"2126","HORMONE COMBINATION"
"2127","PRESERVISION AREDS"
"2128","PREDNISOLONE SODIUM PHOSPHAT"
"2129","PROPOXYPHENE HCL/APAP"
"2130","SEASONIQUE"
"2131","PROPYLENE GLYCOL"
"2132","RIMONABANT OR PLACEBO"
"2133","LIDOCAINE-HC"
"2134","NEOMYCIN/BACITRACIN/POLY/HC"
"2135","BISOPROLOL FUMERATE/HCTZ"
"2136","LEVORA-28"
"2137","SINEMET 10-100"
"2138","OPTICHAMBER"
"2139","HUMALOG MIX 50/50"
"2140","NEPHRON FA"
"2141","SPIRONOLACTONE-HCTZ"
"2142","FLAX SEED OIL"
"2143","GEMCITABINE HCL"
"2144","VITAMIN  B12"
"2145","TRANDOLAPRIL/VERAPAMIL HCL"
"2146","OSPEMIFENE"
"2147","PHENYTOIN"
"2148","VITACON"
"2149","TUSSIONEX"
"2150","LEVSIN/SL"
"2151","ROGAINE"
"2152","ALAMAST-EYE GTTS"
"2153","FLUDARA"
"2154","PANMIST DM"
"2155","RYNATAN"
"2156","PALZYME COMP."
"2157","KLOTRIX"
"2158","METRAZINE"
"2159","XTROZINE"
"2160","FE FUMARATE/VIT C/VIT B12/FA"
"2161","ADVIR"
